"","Odds.Ratio"
"tet(B)",-1.72298468879979
"tet(C)",-4.69252427090653
"tet(D)",-5.93492852957201
"tet(E)",-9.58816017909241
"tet(G)",-10.2813416269307
"tet(H-J)",-9.58816017908895
"tet(H)",-10.2813416269346
"tet(M-W-O-S)",-10.2813416269359
"tet(M)",-4.43774013088986
"tet(O)",-10.281341626937
"tet(X)",-7.39038716836655
"tet(Y)",-9.58816017909263
"tetA",-10.2813416269391
"vanR",-10.2813416269323
"vanY",-10.2813416269323
"vat",-8.33522585758951
