,threshold,specificity,sensitivity,accuracy,tn,tp,fn,fp,npv,ppv,fdr,fpr,tpr,tnr,fnr,1-specificity,1-sensitivity,1-accuracy,1-npv,1-ppv,precision,recall,youden,closest.topleft,is_best,model
82,0.145064595,0.995408895,0.232876712,0.987505324,6938,17,56,32,0.991993137,0.346938776,0.653061224,0.004591105,0.232876712,0.995408895,0.767123288,0.004591105,0.767123288,0.012494676,0.008006863,0.653061224,0.346938776,0.232876712,1.228285608,0.588499217,FALSE,glm
83,0.147711793,0.995408895,0.205479452,0.987221355,6938,15,58,32,0.991709548,0.319148936,0.680851064,0.004591105,0.205479452,0.995408895,0.794520548,0.004591105,0.794520548,0.012778645,0.008290452,0.680851064,0.319148936,0.205479452,1.200888347,0.631283979,FALSE,glm
84,0.152304688,0.995839311,0.205479452,0.987647309,6941,15,58,29,0.991713102,0.340909091,0.659090909,0.004160689,0.205479452,0.995839311,0.794520548,0.004160689,0.794520548,0.012352691,0.008286898,0.659090909,0.340909091,0.205479452,1.201318763,0.631280212,FALSE,glm
85,0.158668985,0.995839311,0.191780822,0.987505324,6941,14,59,29,0.991571429,0.325581395,0.674418605,0.004160689,0.191780822,0.995839311,0.808219178,0.004160689,0.808219178,0.012494676,0.008428571,0.674418605,0.325581395,0.191780822,1.187620133,0.653235551,FALSE,glm
86,0.163119036,0.995839311,0.178082192,0.987363339,6941,13,60,29,0.991429796,0.30952381,0.69047619,0.004160689,0.178082192,0.995839311,0.821917808,0.004160689,0.821917808,0.012636661,0.008570204,0.69047619,0.30952381,0.178082192,1.173921503,0.675566195,FALSE,glm
87,0.166969406,0.996126255,0.164383562,0.987505324,6943,12,61,27,0.991290691,0.307692308,0.692307692,0.003873745,0.164383562,0.996126255,0.835616438,0.003873745,0.835616438,0.012494676,0.008709309,0.692307692,0.307692308,0.164383562,1.160509817,0.698269838,FALSE,glm
88,0.170781182,0.996413199,0.150684932,0.987647309,6945,11,62,25,0.991151705,0.305555556,0.694444444,0.003586801,0.150684932,0.996413199,0.849315068,0.003586801,0.849315068,0.012352691,0.008848295,0.694444444,0.305555556,0.150684932,1.147098131,0.721348951,FALSE,glm
89,0.171207895,0.996556671,0.150684932,0.987789294,6946,11,62,24,0.991152968,0.314285714,0.685714286,0.003443329,0.150684932,0.996556671,0.849315068,0.003443329,0.849315068,0.012210706,0.008847032,0.685714286,0.314285714,0.150684932,1.147241603,0.721347942,FALSE,glm
90,0.175135951,0.996700143,0.150684932,0.987931279,6947,11,62,23,0.99115423,0.323529412,0.676470588,0.003299857,0.150684932,0.996700143,0.849315068,0.003299857,0.849315068,0.012068721,0.00884577,0.676470588,0.323529412,0.150684932,1.147385075,0.721346975,FALSE,glm
91,0.182635649,0.996843615,0.150684932,0.988073264,6948,11,62,22,0.991155492,0.333333333,0.666666667,0.003156385,0.150684932,0.996843615,0.849315068,0.003156385,0.849315068,0.011926736,0.008844508,0.666666667,0.333333333,0.150684932,1.147528547,0.721346048,FALSE,glm
