"","PDG","PDT","bioproject"
"326","PDG000000004.1046","PDT000010363.2","PRJNA175272"
"327","PDG000000004.1046","PDT000010364.2","PRJNA175273"
"328","PDG000000004.1046","PDT000010365.2","PRJNA175275"
"329","PDG000000004.1046","PDT000012704.2","PRJNA179371"
"330","PDG000000004.1046","PDT000010481.2","PRJEB51"
"331","PDG000000004.1046","PDT000010507.2","PRJNA174135"
"332","PDG000000004.1046","PDT000010508.2","PRJNA174136"
"333","PDG000000004.1046","PDT000010509.2","PRJNA174137"
"334","PDG000000004.1046","PDT000010511.2","PRJNA174139"
"335","PDG000000004.1046","PDT000010513.2","PRJNA174141"
"336","PDG000000004.1046","PDT000010510.2","PRJNA174138"
"337","PDG000000004.1046","PDT000010514.2","PRJNA174142"
"338","PDG000000004.1046","PDT000010516.2","PRJNA174144"
"339","PDG000000004.1046","PDT000010515.2","PRJNA174143"
"340","PDG000000004.1046","PDT000013410.2","PRJEB641"
"341","PDG000000004.1046","PDT000010528.2","PRJNA65605"
"342","PDG000000004.1046","PDT000010529.2","PRJNA65607"
"343","PDG000000004.1046","PDT000010490.2","PRJNA76801"
"344","PDG000000004.1046","PDT000010491.2","PRJNA76803"
"345","PDG000000004.1046","PDT000010492.2","PRJNA76805"
"346","PDG000000004.1046","PDT000010512.2","PRJNA174140"
"347","PDG000000004.1046","PDT000010494.2","PRJNA81661"
"348","PDG000000004.1046","PDT000010496.2","PRJNA81663"
"349","PDG000000004.1046","PDT000010498.2","PRJNA81665"
"350","PDG000000004.1046","PDT000010500.2","PRJNA81667"
"351","PDG000000004.1046","PDT000010501.2","PRJNA81669"
"352","PDG000000004.1046","PDT000010502.2","PRJNA81671"
"353","PDG000000004.1046","PDT000010505.2","PRJNA88163"
"354","PDG000000004.1046","PDT000010506.2","PRJNA88165"
"355","PDG000000004.1046","PDT000010503.2","PRJNA81673"
"356","PDG000000004.1046","PDT000010568.2","PRJNA157665"
"357","PDG000000004.1046","PDT000010569.2","PRJNA157667"
"358","PDG000000004.1046","PDT000010570.2","PRJNA157669"
"359","PDG000000004.1046","PDT000010574.2","PRJNA157681"
"360","PDG000000004.1046","PDT000010573.2","PRJNA157675"
"361","PDG000000004.1046","PDT000010575.2","PRJNA157685"
"362","PDG000000004.1046","PDT000010576.2","PRJNA157687"
"363","PDG000000004.1046","PDT000010577.2","PRJNA157689"
"364","PDG000000004.1046","PDT000010578.2","PRJNA157691"
"365","PDG000000004.1046","PDT000010579.2","PRJNA157693"
"366","PDG000000004.1046","PDT000010581.2","PRJNA157697"
"367","PDG000000004.1046","PDT000010583.2","PRJNA157701"
"368","PDG000000004.1046","PDT000010585.2","PRJNA157705"
"369","PDG000000004.1046","PDT000010587.2","PRJNA157709"
"370","PDG000000004.1046","PDT000010588.2","PRJNA157711"
"371","PDG000000004.1046","PDT000010592.2","PRJNA157721"
"372","PDG000000004.1046","PDT000010594.2","PRJNA157725"
"373","PDG000000004.1046","PDT000010590.2","PRJNA157717"
"374","PDG000000004.1046","PDT000010600.2","PRJNA157655"
"375","PDG000000004.1046","PDT000010597.2","PRJNA157645"
"376","PDG000000004.1046","PDT000010572.2","PRJNA157673"
"377","PDG000000004.1046","PDT000010571.2","PRJNA157671"
"378","PDG000000004.1046","PDT000010602.2","PRJNA157659"
"379","PDG000000004.1046","PDT000010591.2","PRJNA157719"
"380","PDG000000004.1046","PDT000010598.2","PRJNA157651"
"381","PDG000000004.1046","PDT000010603.2","PRJNA157661"
"382","PDG000000004.1046","PDT000010599.2","PRJNA157653"
"383","PDG000000004.1046","PDT000010580.2","PRJNA157695"
"384","PDG000000004.1046","PDT000010582.2","PRJNA157699"
"385","PDG000000004.1046","PDT000010586.2","PRJNA157707"
"386","PDG000000004.1046","PDT000010589.2","PRJNA157713"
"387","PDG000000004.1046","PDT000010584.2","PRJNA157703"
"388","PDG000000004.1046","PDT000010595.2","PRJNA157727"
"389","PDG000000004.1046","PDT000010593.2","PRJNA157723"
"390","PDG000000004.1046","PDT000010596.2","PRJNA157649"
"391","PDG000000004.1046","PDT000010601.2","PRJNA157657"
"392","PDG000000004.1046","PDT000011469.2","PRJNA40075"
"393","PDG000000004.1046","PDT000010547.2","PRJNA42137"
"394","PDG000000004.1046","PDT000010610.2","PRJNA169903"
"395","PDG000000004.1046","PDT000012703.2","PRJNA179341"
"396","PDG000000004.1046","PDT000010756.2","PRJNA184588"
"397","PDG000000004.1046","PDT000010750.2","PRJEB1137"
"398","PDG000000004.1046","PDT000010751.2","PRJEB1191"
"399","PDG000000004.1046","PDT000010752.2","PRJEB1192"
"400","PDG000000004.1046","PDT000010859.2","PRJNA68593"
"401","PDG000000004.1046","PDT000010860.2","PRJNA65691"
"402","PDG000000004.1046","PDT000011193.2","PRJNA167774"
"403","PDG000000004.1046","PDT000011194.2","PRJNA174049"
"404","PDG000000004.1046","PDT000011195.2","PRJNA174048"
"405","PDG000000004.1046","PDT000011674.2","PRJNA73633"
"406","PDG000000004.1046","PDT000011594.2","PRJDB5"
"407","PDG000000004.1046","PDT000011611.2","PRJNA73631"
"408","PDG000000004.1046","PDT000011841.2","PRJNA157647"
"409","PDG000000004.1046","PDT000011840.2","PRJNA157715"
"410","PDG000000004.1046","PDT000015961.2","PRJNA157677"
"411","PDG000000004.1046","PDT000011838.2","PRJNA157679"
"412","PDG000000004.1046","PDT000011711.2","PRJNA157569"
"413","PDG000000004.1046","PDT000011712.2","PRJNA157571"
"414","PDG000000004.1046","PDT000011839.2","PRJNA157683"
"415","PDG000000004.1046","PDT000011710.2","PRJNA157567"
"416","PDG000000004.1046","PDT000011713.2","PRJNA157579"
"417","PDG000000004.1046","PDT000011716.2","PRJNA157587"
"418","PDG000000004.1046","PDT000011717.2","PRJNA157589"
"419","PDG000000004.1046","PDT000011715.2","PRJNA157583"
"420","PDG000000004.1046","PDT000011718.2","PRJNA157599"
"421","PDG000000004.1046","PDT000011719.2","PRJNA157607"
"422","PDG000000004.1046","PDT000011720.2","PRJNA157609"
"423","PDG000000004.1046","PDT000011721.2","PRJNA157613"
"424","PDG000000004.1046","PDT000011722.2","PRJNA157631"
"425","PDG000000004.1046","PDT000011723.2","PRJNA157641"
"426","PDG000000004.1046","PDT000011724.2","PRJNA163373"
"427","PDG000000004.1046","PDT000011725.2","PRJNA163375"
"428","PDG000000004.1046","PDT000011728.2","PRJNA163391"
"429","PDG000000004.1046","PDT000011729.2","PRJNA163395"
"430","PDG000000004.1046","PDT000011730.2","PRJNA163399"
"431","PDG000000004.1046","PDT000011731.2","PRJNA163415"
