"","Genotype","Gain","Loss","Isolate_Count","rate","net_gain","net_loss","cluster","category"
"387","sul1",1551,283,3779,2.98028391167192,4622.42034700315,843.420347003155,"3","SS"
"388","sul2",2155,749,7060,5.02133712660028,10820.9815078236,3760.98150782361,"3","SS"
"389","sul3",531,10,807,1.5489443378119,822.489443378119,15.489443378119,"3","SS"
"390","tet",46,0,46,1,46,0,"2","GC"
"391","tet(31)",4,0,4,1,4,0,"2","GC"
"392","tet(41)",1,0,3,3,3,0,"1","TBD"
"393","tet(A)",2006,425,5420,3.42820999367489,6876.98924731183,1456.98924731183,"3","SS"
"394","tet(B)",1768,144,4432,2.72906403940887,4824.98522167488,392.985221674877,"3","SS"
"395","tet(C)",219,0,268,1.22374429223744,268,0,"4","GC"
"396","tet(D)",45,5,77,1.925,86.625,9.625,"4","GC"
"397","tet(E)",2,0,2,1,2,0,"1","TBD"
"398","tet(G)",1,0,1,1,1,0,"1","TBD"
"399","tet(H-J)",1,0,2,2,2,0,"1","TBD"
"400","tet(H)",1,0,1,1,1,0,"1","TBD"
"401","tet(M-W-O-S)",1,0,1,1,1,0,"1","TBD"
"402","tet(M)",279,2,343,1.23826714801444,345.476534296029,2.47653429602888,"4","GC"
"403","tet(O)",1,0,1,1,1,0,"1","TBD"
"404","tet(X)",18,0,18,1,18,0,"2","GC"
"405","tet(Y)",2,0,2,1,2,0,"1","TBD"
"406","tetA",1,0,1,1,1,0,"1","TBD"
"407","vanR",1,0,1,1,1,0,"1","TBD"
"408","vanY",1,0,1,1,1,0,"1","TBD"
"409","vat",5,0,7,1.4,7,0,"2","GC"
